PLAYER_ID,PLAYER_NAME,PLAYER_POSITION,TEAM_ID,TEAM_ABBREVIATION,GP,MIN,FAN_DUEL_PTS,NBA_FANTASY_PTS,PTS,REB,AST,BLK,STL,TOV,FG3M,FGA,FG_PCT,FTA,FT_PCT
1630535,Greg Brown III,F,1610612757,POR,1,25.0,7.9,9.9,3.0,2.0,1.0,2.0,0.0,3.0,1.0,8.0,0.125,0.0,0.0
1630174,Aaron Nesmith,G-F,1610612738,BOS,1,15.9,7.6,7.6,5.0,3.0,0.0,0.0,0.0,1.0,1.0,4.0,0.25,2.0,1.0
1626220,Royce O'Neale,F,1610612762,UTA,1,27.1,7.1,7.1,5.0,3.0,1.0,0.0,0.0,3.0,1.0,6.0,0.167,2.0,1.0
1629004,Svi Mykhailiuk,G-F,1610612761,TOR,1,7.8,7.0,8.0,6.0,0.0,0.0,0.0,1.0,1.0,2.0,6.0,0.333,0.0,0.0
202066,Garrett Temple,G-F,1610612740,NOP,1,23.9,6.4,6.4,6.0,2.0,0.0,0.0,0.0,2.0,2.0,8.0,0.25,0.0,0.0
203901,Elfrid Payton,G,1610612756,PHX,1,12.0,6.1,7.2,2.0,1.0,2.0,0.0,1.0,2.0,0.0,2.0,0.5,0.0,0.0
1629638,Nickeil Alexander-Walker,G,1610612762,UTA,1,5.7,6.0,6.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,0.0
1626246,Boban Marjanovic,C,1610612742,DAL,1,7.8,5.9,5.9,4.0,2.0,1.0,0.0,0.0,2.0,0.0,4.0,0.5,0.0,0.0
203087,Jeremy Lamb,G-F,1610612758,SAC,1,15.5,5.1,6.2,5.0,1.0,0.0,0.0,1.0,3.0,1.0,3.0,0.667,0.0,0.0
1630560,Cam Thomas,G,1610612751,BKN,1,8.8,5.0,5.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.667,2.0,0.5
1630346,Matt Ryan,F,1610612738,BOS,1,5.3,5.0,6.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,0.2,0.0,0.0
203084,Harrison Barnes,F,1610612758,SAC,1,13.1,4.7,4.7,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.5,0.0,0.0
1630225,Isaiah Todd,F,1610612764,WAS,1,17.3,4.7,6.7,0.0,1.0,1.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0
1629717,Armoni Brooks,G,1610612761,TOR,1,18.0,4.4,4.4,3.0,2.0,0.0,0.0,0.0,1.0,1.0,4.0,0.25,0.0,0.0
201571,D.J. Augustin,G,1610612747,LAL,1,15.1,4.2,4.2,2.0,1.0,2.0,0.0,0.0,2.0,0.0,4.0,0.0,2.0,1.0
1629076,Tyler Cook,F,1610612741,CHI,1,3.6,4.2,4.2,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,1.0,1.0
1630539,Kai Jones,C-F,1610612766,CHA,1,2.6,4.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1630270,Xavier Sneed,F,1610612762,UTA,1,3.7,3.9,3.9,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1628995,Kevin Knox II,F,1610612737,ATL,1,2.0,3.4,3.4,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.5
1630547,James Bouknight,G,1610612766,CHA,1,2.6,3.2,3.2,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,0.0,0.0
1628969,Mikal Bridges,F,1610612756,PHX,1,5.9,3.2,3.2,0.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
1629020,Jarred Vanderbilt,F,1610612750,MIN,1,14.2,3.1,3.1,0.0,3.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0
1630593,McKinley Wright IV,G,1610612750,MIN,1,7.2,3.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203468,CJ McCollum,G,1610612740,NOP,1,5.6,2.7,2.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
1629111,Jock Landale,C,1610612759,SAS,1,4.7,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1630624,Feron Hunt,F,1610612752,NYK,1,6.5,1.7,1.7,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
1630216,Cassius Winston,G,1610612764,WAS,1,4.0,1.5,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
1629683,Quinndary Weatherspoon,G,1610612744,GSW,1,4.2,1.5,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1627789,Timothe Luwawu-Cabarrot,G-F,1610612737,ATL,1,7.5,1.4,1.4,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1630580,Joe Wieskamp,G-F,1610612759,SAS,1,8.8,1.2,1.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1630648,Jordan Schakel,G,1610612764,WAS,1,4.0,1.2,1.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1629719,Devontae Cacok,F,1610612759,SAS,1,4.2,1.2,1.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1630612,RJ Nembhard Jr.,G,1610612739,CLE,1,3.2,0.2,0.2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1630550,JT Thor,F,1610612766,CHA,1,2.6,0.2,0.2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1630536,Sharife Cooper,G,1610612737,ATL,1,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1630219,Skylar Mays,G,1610612737,ATL,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1630552,Jalen Johnson,F,1610612737,ATL,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201950,Jrue Holiday,G,1610612749,MIL,1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1629083,Arnoldas Kulboka,F,1610612766,CHA,1,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1629164,Brandon Goodwin,G,1610612739,CLE,1,8.0,-0.5,-0.5,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0
